"","otu","B_vitamins","Copies_16S","GC_content","Gene_number","Genome_Mb","Gram_positive","Length","Motility","Oxygen_tolerance","Sporulation","Temp_optimum","Width"
"451","OTU1558",3.72559176796981,5.20286054871831,45.3521697418914,2301.19234669435,2.31960388001141,0.129954499953282,0.00391661919944035,0.0486490715558745,1.14845453491073,0.0598145385219935,35.3169107076449,-0.479212275728554
"452","OTU1559",3.71079341356135,5.47577508589832,42.1607212938979,3537.3803741843,4.02876331148733,0.900210490606748,1.15462954552201,0.349850223607495,1.00914984704655,0.357961958599445,37.7111805314143,-0.33226980902364
"453","OTU156",NA,NA,49,NA,3.78981,0,0.438254930931155,0,1,NA,38.107132416475,-0.0512932943875506
"454","OTU1560",NA,NA,49.9591630550914,NA,NA,NA,1.00777859327717,NA,3.01543522334471,NA,35.9037236748705,-0.547666775141868
"455","OTU1561",3.52072842260026,NA,36.0822241081382,3069.71059991522,2.9209742396244,0.865272065456775,1.42153852859961,0.76028329256342,1.03413757711974,0.0687105371990855,39.1778168830742,-0.457020039912851
"456","OTU1562",1.91744701595449,NA,41.8405375243971,NA,3.31520130957495,0.233545531670588,0.768031494270243,0.154408472842002,1.02189544191093,0.139360442632952,39.9902939045608,-0.62176954026187
"457","OTU1563",1.53725654008976,NA,46.5707572961621,NA,2.97566941965946,0.947973713233475,1.17727637485479,0.230525065672621,1.04352976966272,0.205243157498507,39.2468942297901,-0.240887851510239
"458","OTU1564",3.21683295569523,5.3110731977315,43.4212323330143,3860.13565807571,4.60079448681304,0.89305389750832,1.15462954555454,0.518071871706142,1.00462480043164,0.263843239676542,36.6505548286116,-0.332269809003338
"459","OTU1566",4.07988410086407,5.68805448741271,41.9209552831304,3478.36307227873,3.47203777323853,0.908634529529578,1.26312922218406,0.235129487690433,1.08919714998195,0.334217205462991,37.7111805314143,-0.343768647768104
"460","OTU1567",3.71079341230012,5.3110731977315,42.8598594800412,3677.83572165211,4.03533569139671,0.956398968190212,1.1546295455368,0.162307731472039,1.00393342141869,0.357961958575378,36.6505548286116,-0.258028219991281
"461","OTU157",NA,3.96486611874505,49.6795644364039,3348.8890689701,2.46108326088413,0.0439644973045541,0.692597094606464,0.402553762643975,1.13248866111051,0.0511209045673346,38.7313077420503,-0.549967820812548
"462","OTU1570",NA,NA,49.0333702169239,3561.71877548418,3.52528704459525,0.0722002388416833,0.627094166498889,0.152115620017365,1.40187519471202,0.0179527526514216,36.5592912654126,0.358915181119365
"463","OTU1571",4.6582486792983,NA,46.0682704206935,2565.3105117229,3.04791909075416,0.000905320576362056,0.597879908485208,0.00235503408737729,1.00907815007143,0.0197547414794194,35.7670864615602,-0.347251169369902
"464","OTU1572",1.91744701595449,NA,41.8405375243971,NA,3.31520130957495,0.233545531670588,0.768031494270243,0.154408472842002,1.02189544191093,0.139360442632952,39.9902939045608,-0.62176954026187
"465","OTU1573",4,2.46153846153846,58.7914181818182,2068.36363636364,2.32941833333333,0.9375,0.559810918803853,0,1,0.0787436868839405,33.0012970946064,-0.461506926670218
"466","OTU1574",NA,NA,44.246940223078,3708.50732433819,4.04318189636348,0.0730355936862204,1.10704262639234,0.0916066683973737,1.40482023002247,NA,35.865316980095,-0.28459470568588
"467","OTU1575",3.71079341230012,5.3110731977315,42.8598594800412,3677.83572165211,4.03533569139671,0.956398968190212,1.1546295455368,0.162307731472039,1.00393342141869,0.357961958575378,36.6505548286116,-0.258028219991281
"468","OTU158",NA,NA,50.2785939311054,NA,NA,NA,0.988624216679736,NA,2.3228391853745,NA,36.5592912654652,-0.439060849000025
"469","OTU1581",NA,4.91336221518376,61.5278091283847,5189.6221191316,5.41641219076024,0.0104948808082215,0.632842243696267,0.810750096980012,4.73011683694626,0.0194476292629603,29.6658309686108,-0.530625245701712
"470","OTU1582",2.84510702042911,NA,41.8405375243971,NA,3.38203446250669,0.233545531670588,0.768031494270243,0.154408472842002,1.03162675023785,0.139360442632952,39.9902939045608,-0.62176954026187
"471","OTU1583",4.07988410086407,5.68805448741271,41.9209552831304,3478.36307227873,3.47203777323853,0.908634529529578,1.26312922218406,0.235129487690433,1.08919714998195,0.334217205462991,37.7111805314143,-0.343768647768104
"472","OTU1585",NA,NA,42.656764388529,3373.46766886945,1.82343,1,0.970335557047104,0.381418575404252,1.02828953740941,NA,40.8878574683302,-0.327261241931884
"473","OTU1587",NA,NA,46.4530089914078,NA,3.08361367600348,0.00684752868625777,0.563081908391281,NA,1.06866395689589,NA,36.3798611469005,-0.474200277743199
"474","OTU1588",1.91744701595449,NA,41.8405375243971,NA,3.31520130957495,0.233545531670588,0.768031494270243,0.154408472842002,1.02189544191093,0.139360442632952,39.9902939045608,-0.62176954026187
"475","OTU159",NA,NA,44.7543524796126,3373.46766886945,2.99356387100391,0.809328033227747,0.618080722636397,0.343791969110632,1.02054679081716,0.280758137105678,39.7952598035832,-0.222979062955468
"476","OTU1591",NA,NA,48.0712023131023,NA,NA,0.417891192838521,0.920325247478885,NA,1.72354351733485,NA,41.1083634449035,-0.392293628488169
"477","OTU1592",4.6582486792983,NA,46.0682704206935,2565.3105117229,3.04791909075416,0.000905320576362056,0.597879908485208,0.00235503408737729,1.00907815007143,0.0197547414794194,35.7670864615602,-0.347251169369902
"478","OTU1594",6.817069020993,5.09298382384579,43.9072624738697,3974.09196886655,4.83148778093349,0.0465583335313076,1.11332691919351,0.00207233601453383,1.1012021421717,0.118847461635452,36.902488099273,-0.0830866886453931
"479","OTU1596",7.32631763413146,5.08388905710626,43.5269934583416,4532.60922581239,5.32786880141055,0.0140205759734698,1.00713800669544,0.000592764443248151,1.02707116082717,0.146043039436101,37.0155704343296,-0.130711410325615
"480","OTU1597",3.45726115304937,3.45110412602955,66.6925271441875,4076.47409489582,2.34926,1,-0.105360515657826,0,5,0,30.9120274163759,-0.916290731874155
"481","OTU1598",2.16914096529537,NA,42.6002650497073,3105.46995276634,3.17998186170171,0.905009468923373,0.934251940583471,0.472574579719701,1.0212700608255,0.177142140553818,41.2408448572547,-0.384842892514793
"482","OTU16",4.07988410165355,5.68805448741271,41.3762602655403,3478.36307227873,3.45832730863237,0.951912903320566,1.26312922219049,0.134359726444152,1.04603724539533,0.334217205463659,37.7111805314143,-0.34743562544429
